,epoch,accs,val_accs,losses,val_losses
0,1,0.8091292542505601,0.8280922399793448,0.9480592014255133,0.756849688637265
1,2,0.9470021024135338,0.9392033464670347,0.39404524638732535,0.37682404523750523
2,3,0.966586315418159,0.9531795855671438,0.27671245128302446,0.3156922955266418
3,4,0.978818917028442,0.9671558292906739,0.2105995936318671,0.25965122171501276
4,5,0.9857487163205361,0.9657582037104001,0.17458507709966148,0.2563411895625663
5,6,0.9880084335965613,0.9622641436125664,0.15591364307629305,0.2430416898115959
6,7,0.9916541107557882,0.9643605818371936,0.1394547757278745,0.24283514778923104
7,8,0.9944260306443102,0.9720475125529398,0.12468496158171324,0.20953017444064115
8,9,0.9943657714995895,0.9559748339369779,0.11760145687835157,0.25609583757000315
9,10,0.995811990565225,0.9412997821925154,0.10920384578332731,0.3042851363671234
10,11,0.9960831566634901,0.9741439516106158,0.10301817640433221,0.1958705502673515
11,12,0.9965351001276744,0.9622641436125664,0.09771910763852709,0.23525145841511208
12,13,0.997228080086336,0.9678546402689296,0.09108943777446755,0.1852392936236037
13,14,0.9980114487575888,0.9545772128968202,0.08665934658712313,0.24315448421893796
14,15,0.9978909305058606,0.9720475133859886,0.08264374191474039,0.1848676760949762
15,16,0.9982223557470505,0.9706498890136356,0.07909218511754901,0.18773540670141983
16,17,0.9981922261432626,0.9685534541212037,0.07534002880800125,0.18413095702602678
17,18,0.9986742991914803,0.9678546411019785,0.07269425063800043,0.18842574663507114
18,19,0.9986742992076432,0.9692522654743314,0.0703744530787792,0.20009933868169286
19,20,0.998614040043168,0.976939199522273,0.06756976520321067,0.1767652823136121
20,21,0.998614040043168,0.9496855284266336,0.06611461901364377,0.2504747013667511
21,22,0.999337149585863,0.9748427612976458,0.06205216723495074,0.16565631224059876
22,23,0.9981319670542136,0.9720475142190375,0.06282589195975789,0.16881979034027797
23,24,0.9992166313287472,0.9713487003667632,0.0586252935982749,0.1756275898609688
24,25,0.9989755948145155,0.9720475142190375,0.058127935877691085,0.17699480108307591
25,26,0.9988550765771541,0.9741439494863413,0.05679377415909147,0.1613596375487552
26,27,0.9993974087198084,0.9748427621306947,0.054412895349241874,0.17237998337948932
27,28,0.9991262426359102,0.9699510772023311,0.05335416562808102,0.1632382348648407
28,29,0.9991262426359102,0.9713487020328609,0.0528154449468368,0.1693578712137157
29,30,0.9994576678429787,0.974143950777567,0.050784861835510516,0.15737610848934228
30,31,0.9996987043572104,0.9699510759944102,0.04908202885672266,0.1615622770600932
31,32,0.9991262426359102,0.9664570167296255,0.04899052456380481,0.1936051620314956
32,33,0.9994576678627333,0.9783368230615772,0.04770141175748013,0.15849640843628338
33,34,0.9996987043572104,0.972746326405214,0.045786989831909174,0.135765973837808
34,35,0.9991563722001892,0.9748427621306947,0.046213658395217426,0.13586095024933773
35,36,0.9993672791501419,0.965758204085272,0.044975816925948875,0.18924471244455468
36,37,0.9995480565358157,0.9755415734838223,0.043609043676546444,0.16035353788841777
37,38,0.9994275382786998,0.974143950777567,0.04297884603427472,0.12376760155129149
38,39,0.999307020021584,0.9692522638082338,0.04239819575977742,0.14943835468849545
39,40,0.9996083156643736,0.9713487015746841,0.04139927489810426,0.14885124267397187
40,41,0.9996987043572104,0.9713487007416353,0.040497717756747695,0.16144471820170525
41,42,0.9993974087144208,0.9713487020328609,0.04055246500975757,0.14792023012369018
